baseline_time,baseline_eval,eval_0.001s,error_0.001s,best_move_match_0.001s,eval_0.005s,error_0.005s,best_move_match_0.005s,eval_0.01s,error_0.01s,best_move_match_0.01s,eval_0.05s,error_0.05s,best_move_match_0.05s,eval_0.1s,error_0.1s,best_move_match_0.1s,eval_0.2s,error_0.2s,best_move_match_0.2s,eval_0.5s,error_0.5s,best_move_match_0.5s
1.0,0.49,0.56,0.07000000000000006,True,0.5,0.010000000000000009,True,0.62,0.13,True,0.48,-0.010000000000000009,True,0.53,0.040000000000000036,True,0.53,0.040000000000000036,True,0.39,-0.09999999999999998,True
1.0,0.42,0.59,0.16999999999999998,True,0.58,0.15999999999999998,True,0.38,-0.03999999999999998,True,0.55,0.13000000000000006,True,0.56,0.14000000000000007,True,0.53,0.11000000000000004,True,0.42,0.0,False
1.0,0.51,0.54,0.030000000000000027,True,0.64,0.13,True,0.25,-0.26,True,0.62,0.10999999999999999,True,0.63,0.12,True,0.6,0.08999999999999997,True,0.62,0.10999999999999999,True
1.0,0.3,0.36,0.06,True,0.36,0.06,True,0.35,0.04999999999999999,True,0.44,0.14,True,0.5,0.2,False,0.47,0.16999999999999998,False,0.55,0.25000000000000006,True
1.0,0.61,0.47,-0.14,True,0.37,-0.24,True,0.42,-0.19,True,0.46,-0.14999999999999997,True,0.56,-0.04999999999999993,True,0.57,-0.040000000000000036,True,0.47,-0.14,True
1.0,0.58,0.41,-0.16999999999999998,True,0.41,-0.16999999999999998,True,0.4,-0.17999999999999994,True,0.39,-0.18999999999999995,True,0.52,-0.05999999999999994,True,0.41,-0.16999999999999998,True,0.52,-0.05999999999999994,True
1.0,0.61,0.53,-0.07999999999999996,True,0.46,-0.14999999999999997,True,0.47,-0.14,True,0.49,-0.12,True,0.46,-0.14999999999999997,True,0.62,0.010000000000000009,True,0.45,-0.15999999999999998,True
1.0,0.51,0.69,0.17999999999999994,False,0.52,0.010000000000000009,True,0.47,-0.040000000000000036,True,0.54,0.030000000000000027,True,0.56,0.050000000000000044,True,0.59,0.07999999999999996,True,0.63,0.12,True
1.0,0.67,0.66,-0.010000000000000009,True,0.66,-0.010000000000000009,True,0.67,0.0,True,0.67,0.0,True,0.58,-0.09000000000000008,True,0.63,-0.040000000000000036,True,0.52,-0.15000000000000002,True
1.0,0.65,0.62,-0.030000000000000027,False,0.62,-0.030000000000000027,False,0.62,-0.030000000000000027,False,0.62,-0.030000000000000027,True,0.65,0.0,True,0.7,0.04999999999999993,False,0.53,-0.12,True
1.0,0.65,0.59,-0.06000000000000005,True,0.62,-0.030000000000000027,True,0.57,-0.08000000000000007,True,0.52,-0.13,True,0.66,0.010000000000000009,True,0.6,-0.050000000000000044,True,0.41,-0.24000000000000005,True
1.0,0.57,0.56,-0.009999999999999898,True,0.29,-0.27999999999999997,True,0.44,-0.12999999999999995,True,0.34,-0.22999999999999993,True,0.45,-0.11999999999999994,True,0.49,-0.07999999999999996,True,0.43,-0.13999999999999996,True
1.0,0.41,0.76,0.35000000000000003,True,0.76,0.35000000000000003,True,0.8,0.39000000000000007,True,0.87,0.46,True,0.79,0.38000000000000006,True,0.93,0.52,True,0.85,0.44,True
1.0,0.75,0.73,-0.020000000000000018,True,0.68,-0.06999999999999995,True,0.59,-0.16000000000000003,True,0.8,0.050000000000000044,True,0.76,0.010000000000000009,True,0.72,-0.030000000000000027,True,0.81,0.06000000000000005,True
1.0,0.8,0.96,0.15999999999999992,True,0.8,0.0,True,0.93,0.13,True,0.66,-0.14,True,0.81,0.010000000000000009,True,1.01,0.20999999999999996,True,1.0,0.19999999999999996,True
1.0,0.93,0.97,0.039999999999999925,True,0.8,-0.13,True,0.96,0.029999999999999916,True,0.9,-0.030000000000000027,True,0.87,-0.06000000000000005,True,0.98,0.04999999999999993,False,0.79,-0.14,False
1.0,1.07,1.27,0.19999999999999996,True,1.39,0.31999999999999984,True,1.22,0.1499999999999999,True,1.48,0.4099999999999999,True,1.48,0.4099999999999999,True,1.45,0.3799999999999999,True,1.24,0.16999999999999993,True
1.0,1.32,1.38,0.05999999999999983,False,1.47,0.1499999999999999,True,1.34,0.020000000000000018,True,1.26,-0.06000000000000005,True,1.25,-0.07000000000000006,True,1.23,-0.09000000000000008,True,1.37,0.050000000000000044,False
1.0,1.47,1.57,0.10000000000000009,True,1.57,0.10000000000000009,True,1.58,0.1100000000000001,True,1.67,0.19999999999999996,True,1.57,0.10000000000000009,True,1.48,0.010000000000000009,True,1.36,-0.10999999999999988,True
1.0,1.51,1.38,-0.13000000000000012,True,1.33,-0.17999999999999994,True,1.27,-0.24,True,1.53,0.020000000000000018,False,1.28,-0.22999999999999998,False,1.41,-0.10000000000000009,False,1.47,-0.040000000000000036,False
1.0,1.5,1.76,0.26,True,1.78,0.28,True,1.83,0.33000000000000007,True,1.78,0.28,True,1.77,0.27,True,1.72,0.21999999999999997,True,1.62,0.1200000000000001,True
